StudentID,currentGrade,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8
1000,12,"ENGLISH FIRST PEOPLES 12 (('MENFP12---', 1, 0))","PSYCHOLOGY 11 (('YPSYC1AX--', 1, 1))","PRE-CALCULUS 12 (('MPREC12---', 3, 2))",NULL,"ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 5))","ECONOMICS 12 (('MEC--12---', 0, 6))",NULL
1001,12,NULL,NULL,"FRENCH 10 (('MFR--10---', 0, 2))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 3, 3))",NULL,NULL,"CONCERT BAND 9 - Guitar (('XBA--09G--', 0, 6))","PRE-CALCULUS 12 (('MPREC12---', 0, 7))"
1002,12,NULL,"DRAMA 12 (('MDRM-12---', 0, 1))","FOOD STUDIES 12 (('MFOOD12---', 0, 2))","LEARNING STRATEGIES 12 (('YED--2CX--', 0, 3))","YOGA FOR MINDFULNESS 12 (('YPA--2CX--', 0, 4))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 5))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1003,11,"ACTIVE LIVING 12 (('MACLV12---', 1, 0))",NULL,"ENGLISH STUDIES 12 (('MENST12---', 0, 2))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 3, 3))","ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))",NULL,"PRE-CALCULUS 12 (('MPREC12---', 0, 6))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 7))"
1004,11,"DRAFTING 12 (('MTDRF12---', 3, 0))","PRE-CALCULUS 12 HONOURS (('MPREC12H--', 0, 1))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 2))","ENGINEERING 12 (('MENR-12---', 0, 3))","PHYSICS 12 (('MPH--12---', 0, 4))","CHEMISTRY 12 (('MCH--12---', 0, 5))","FOOD STUDIES 12 (('MFOOD12---', 0, 6))",NULL
1005,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))","PRE-CALCULUS 12 HONOURS (('MPREC12H--', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1006,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))",NULL,"PRE-CALCULUS 12 (('MPREC12---', 3, 2))",NULL,"CALCULUS 12 (('MCALC12---', 0, 4))","LAW STUDIES 12 (('MLST-12---', 0, 5))","SPANISH 12 (('MSP--12---', 1, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1007,11,"3D ANIMATION 12 (('MDMD-12D--', 0, 0))","AP PHYSICS C (MECHANICS) 12 ex (('APHM-12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","ENGINEERING 12 (('MENR-12---', 0, 3))","CHEMISTRY 12 (('MCH--12---', 0, 4))",NULL,"CALCULUS 12 (('MCALC12---', 0, 6))",NULL
1008,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","CHEMISTRY 12 (('MCH--12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","ENGINEERING 12 (('MENR-12---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","ECONOMICS 12 (('MEC--12---', 0, 6))",NULL
1009,11,"ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 1, 0))","PSYCHOLOGY 11 (('YPSYC1AX--', 1, 1))","FOOD STUDIES 12 (('MFOOD12---', 0, 2))","PHYSICS 12 (('MPH--12---', 0, 3))","CHEMISTRY 12 (('MCH--12---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1010,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","PHYSICS 12 (('MPH--12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","COMPUTER PROGRAMMING 12 AI and (('MCMPR12AI-', 0, 5))",NULL,NULL
1011,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","DRAFTING 12 (('MTDRF12---', 3, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","CHEMISTRY 12 (('MCH--12---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 7))"
1012,11,"COMPARATIVE CULTURES 12 (('MCMCL12---', 0, 0))","ACTIVE LIVING 12 (('MACLV12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 3))","FOOD STUDIES 12 (('MFOOD12---', 1, 4))","LEARNING STRATEGIES 12 (('YED--2CX--', 0, 5))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 6))","CROSS TRAINING 12 (('YHRA-2AX--', 0, 7))"
1013,11,"ENGLISH FIRST PEOPLES 12 (('MENFP12---', 1, 0))","PSYCHOLOGY 11 (('YPSYC1AX--', 1, 1))","FOOD STUDIES 12 (('MFOOD12---', 0, 2))",NULL,"ECONOMICS 12 (('MEC--12---', 0, 4))","PRE-CALCULUS 12 (('MPREC12---', 0, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1014,11,"COMPOSITION 11 (('MCMPS11---', 1, 0))",NULL,NULL,"FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))",NULL,"PHYSICAL GEOGRAPHY 12 (('MPGEO12---', 0, 5))","LIFE SCIENCES 11 (('MLFSC11---', 0, 6))",NULL
1015,11,"LAW STUDIES 12 (('MLST-12---', 3, 0))","FOOD STUDIES 12 (('MFOOD12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))",NULL,"SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 7))"
1016,11,NULL,"FOOD STUDIES 12 (('MFOOD12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 3))","ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))","PHYSICAL GEOGRAPHY 12 (('MPGEO12---', 0, 5))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 6))","CROSS TRAINING 12 (('YHRA-2AX--', 0, 7))"
1017,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","ACCOUNTING 11 (('MAC--11---', 1, 1))","DRAFTING 12 (('MTDRF12---', 3, 2))",NULL,"CALCULUS 12 (('MCALC12---', 0, 4))",NULL,"ENGLISH FIRST PEOPLES 12 Year (('MENFP12--Y', 0, 6))",NULL
1018,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))","AP PHYSICS C (MECHANICS) 12 ex (('APHM-12---', 0, 1))","FOOD STUDIES 12 (('MFOOD12---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","CALCULUS 12 (('MCALC12---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","OUTDOOR EDUCATION 12 (('MODED12---', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1019,11,NULL,NULL,"ENGLISH STUDIES 12 (('MENST12---', 2, 2))","FRENCH 11 (('MFR--11---', 1, 3))","MEDIA DESIGN 12 (('MMEDD12---', 0, 4))",NULL,NULL,"CRIMINOLOGY 12 (('YLAW-2CX--', 2, 7))"
1020,11,NULL,"ACCOUNTING 11 (('MAC--11---', 1, 1))","PRE-CALCULUS 12 (('MPREC12---', 3, 2))","PHYSICS 12 (('MPH--12---', 0, 3))",NULL,NULL,NULL,"ENGLISH STUDIES 12 (('MENST12---', 0, 7))"
1021,11,NULL,"DANCE FOUNDATIONS 12 (('MDCF-12---', 0, 1))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 2))","CHEMISTRY 11 (('MCH--11---', 5, 3))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 4))","CHEMISTRY 12 (('MCH--12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1022,11,"COMPARATIVE CULTURES 12 (('MCMCL12---', 0, 0))","TEXTILES 12 (('MTXT-12---', 0, 1))",NULL,"ENGLISH STUDIES 12 (('MENST12---', 3, 3))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 4))","PRE-CALCULUS 12 (('MPREC12---', 0, 5))","ART STUDIO 12 (('MVAST12---', 0, 6))",NULL
1023,11,"ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 1, 0))","CHEMISTRY 12 (('MCH--12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","PHYSICS 12 (('MPH--12---', 0, 4))","PRE-CALCULUS 12 (('MPREC12---', 0, 5))","FOOD STUDIES 12 (('MFOOD12---', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1024,11,"CHEMISTRY 11 (('MCH--11---', 1, 0))",NULL,"PRE-CALCULUS 12 (('MPREC12---', 3, 2))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 0, 3))","CHEMISTRY 12 (('MCH--12---', 0, 4))",NULL,"OUTDOOR EDUCATION 12 (('MODED12---', 0, 6))","ENGLISH STUDIES 12 (('MENST12---', 0, 7))"
1025,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))",NULL,NULL,NULL,"PHYSICS 12 (('MPH--12---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1026,11,"AP COMPUTER SCIENCE A 12 (('ACSC-2A---', 0, 0))","AP PHYSICS C (MECHANICS) 12 ex (('APHM-12---', 0, 1))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 2))","CHEMISTRY 12 (('MCH--12---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))",NULL,"FOOD STUDIES 12 (('MFOOD12---', 0, 6))","MEDIA DESIGN 12 (('MMEDD12---', 0, 7))"
1027,11,"CRIMINOLOGY 12 (('YLAW-2CX--', 2, 0))","TEXTILES 12 (('MTXT-12---', 0, 1))",NULL,"FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 4))","LAW STUDIES 12 (('MLST-12---', 0, 5))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 6))","ENGLISH STUDIES 12 (('MENST12---', 0, 7))"
1028,11,NULL,"DANCE FOUNDATIONS 12 (('MDCF-12---', 0, 1))",NULL,NULL,NULL,"ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 2, 5))","FOOD STUDIES 12 (('MFOOD12---', 0, 6))","MEDIA DESIGN 12 (('MMEDD12---', 0, 7))"
1029,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","DRAMA 12 (('MDRM-12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))",NULL,"PRE-CALCULUS 12 (('MPREC12---', 0, 5))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 6))",NULL
1030,11,"ACTIVE LIVING 12 (('MACLV12---', 1, 0))","FOOD STUDIES 12 (('MFOOD12---', 0, 1))","PRE-CALCULUS 12 (('MPREC12---', 3, 2))","PHYSICS 12 (('MPH--12---', 0, 3))","CHEMISTRY 12 (('MCH--12---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","CALCULUS 12 (('MCALC12---', 0, 6))",NULL
1031,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))",NULL,NULL,"ENGLISH STUDIES 12 (('MENST12---', 3, 3))",NULL,NULL,"CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))",NULL
1032,11,"ENGLISH FIRST PEOPLES 12 (('MENFP12---', 1, 0))","ACCOUNTING 11 (('MAC--11---', 1, 1))","CAREER LIFE EDUCATION 10 (('MCLE-10---', 0, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))","YOGA FOR MINDFULNESS 12 (('YPA--2CX--', 0, 4))","PHYSICAL GEOGRAPHY 12 (('MPGEO12---', 0, 5))","FOOD STUDIES 12 (('MFOOD12---', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1033,11,NULL,"ACCOUNTING 11 (('MAC--11---', 1, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))","YOGA FOR MINDFULNESS 12 (('YPA--2CX--', 0, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","ECONOMICS 12 (('MEC--12---', 0, 6))","PRE-CALCULUS 11 (('MPREC11---', 0, 7))"
1034,11,NULL,"FOOD STUDIES 12 (('MFOOD12---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 2, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))","ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))","LIFE SCIENCES 11 (('MLFSC11---', 4, 5))","LEARNING STRATEGIES 12 (('YED--2CX--', 7, 6))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 7))"
1035,11,NULL,"ACCOUNTING 11 (('MAC--11---', 1, 1))","ENTREPRENEURSHIP 12 (('MENT-12---', 0, 2))",NULL,"FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 0, 4))",NULL,"E-COMMERCE 12 (('MECOM12---', 0, 6))","ENGLISH STUDIES 12 (('MENST12---', 0, 7))"
1036,11,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","COMPUTER PROGRAMMING 11 AI and (('MCMPR11AI-', 0, 1))","ENGLISH STUDIES 12 CHALLENGE (('MENST12C--', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","PHYSICS 12 (('MPH--12---', 0, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))",NULL
1037,11,"AP ENGLISH LITERATURE & COMPOS (('AELC-12---', 0, 0))","CHEMISTRY 12 (('MCH--12---', 0, 1))","LITERARY STUDIES 12 (('MLTST12---', 0, 2))","PRE-CALCULUS 12 (('MPREC12---', 0, 3))","PHYSICS 12 (('MPH--12---', 0, 4))","ART STUDIO 12 (('MVAST12---', 1, 5))","SCHOLARSHIP PREPARATION 12 LIN (('YED--2FX-L', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1038,11,"LAW STUDIES 12 (('MLST-12---', 3, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","ENGLISH STUDIES 12 (('MENST12---', 0, 2))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))","AUTOMOTIVE TECHNOLOGY 12 (('MTAUT12---', 1, 4))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 2, 5))",NULL,"CROSS TRAINING 12 (('YHRA-2AX--', 0, 7))"
1039,11,"CHEMISTRY 12 (('MCH--12---', 1, 0))","AP PHYSICS C (MECHANICS) 12 ex (('APHM-12---', 0, 1))",NULL,NULL,"AP CALCULUS AB 12 external cre (('ACAL-12---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","ECONOMICS 12 (('MEC--12---', 0, 6))","ANATOMY AND PHYSIOLOGY 12 (('MATPH12---', 0, 7))"
1040,11,NULL,"PHYSICS 12 (('MPH--12---', 0, 1))","ENTREPRENEURSHIP 12 (('MENT-12---', 0, 2))","ENGLISH STUDIES 12 (('MENST12---', 3, 3))",NULL,NULL,"PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1041,11,"ENGLISH FIRST PEOPLES 12 (('MENFP12---', 1, 0))","LAW STUDIES 12 (('MLST-12---', 3, 1))","DANCE TECHNIQUE AND PERFORMANC (('MDNTP12---', 0, 2))","20th CENTURY WORLD HISTORY 12 (('MWH--12---', 1, 3))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","FOOD STUDIES 12 (('MFOOD12---', 0, 6))","CRIMINOLOGY 12 (('YLAW-2CX--', 2, 7))"
1042,11,"LIFE SCIENCES 11 (('MLFSC11---', 1, 0))",NULL,"FRENCH 12 (('MFR--12---', 1, 2))",NULL,NULL,NULL,"SPANISH 12 (('MSP--12---', 1, 6))",NULL
1043,11,NULL,NULL,"ENGLISH STUDIES 12 (('MENST12---', 2, 2))","FRENCH 12 (('MFR--12---', 1, 3))",NULL,NULL,"SPANISH 12 (('MSP--12---', 1, 6))","PRE-CALCULUS 12 (('MPREC12---', 0, 7))"
