Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
ADST - Textiles 9 (MADT-09----S1) @ 107,ACTIVE LIVING 11 (MACLV11----S1) @ 120,3D ANIMATION 12 (MDMD-12D---S1) @ 114,AP CALCULUS AB 12 external cre (ACAL-12----S1) @ 106,ADST ?  FOOD STUDIES 10 (MFOOD10----S1) @ 206,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10H---S1) @ 106,20th CENTURY WORLD HISTORY 12 (MWH--12----S1) @ 209,ADST ?  ELECTRONICS AND ROBOTI (MTEAR10--L-S1) @ 104
ADST - Textiles 9 (MADT-09----S2) @ 122,ACTIVE LIVING 11 (MACLV11----S2) @ A-4,AP STATISTICS 12 (ASTA-12----S1) @ 107,CONTEMPORARY INDIGENOUS STUDIE (MINST12----S1) @ A-3,ADST ?  FOOD STUDIES 10 (MFOOD10----S2) @ 123,FRENCH 11 (MFR--11----S1) @ 107,20th CENTURY WORLD HISTORY 12 (MWH--12----S2) @ 222,ADST ?  POWER TECHNOLOGY 10 (MTPOW10----S1) @ 107
ADST - Textiles 9 (MADT-09----S3) @ 123,ACTIVE LIVING 12 (MACLV12----S1) @ Gym,INSTRUMENTAL MUSIC 11: (MIMCB11--L-S1) @ 119,CONTEMPORARY INDIGENOUS STUDIE (MINST12----S2) @ 101,ADST ?  FOOD STUDIES 10 (MFOOD10----S3) @ 208,FRENCH 11 (MFR--11----S2) @ 122,ENGLISH STUDIES 12 CHALLENGE (MENST12C---S1) @ A-6,ADST ?  POWER TECHNOLOGY 10 (MTPOW10----S2) @ 122
ADST - Textiles 9 (MADT-09----S4) @ 208,ACTIVE LIVING 12 (MACLV12----S2) @ 107,INSTRUMENTAL MUSIC 12: CONCERT (MIMCB12--L-S1) @ 122,CONTEMPORARY INDIGENOUS STUDIE (MINST12C---S1) @ 102,CAREER LIFE EDUCATION 10 Linea (MCLE-10--L-S1) @ 107,FRENCH 12 (MFR--12----S1) @ 123,ENGLISH STUDIES 12 CHALLENGE (MENST12C---S2) @ A-7,CONCERT BAND 9 - Guitar (XBA--09G---S1) @ 119
ANATOMY AND PHYSIOLOGY 12 (MATPH12----S1) @ 209,ADST ? ENTREPRENEURSHIP AND MA (MADEM10----S1) @ 122,LIFE SCIENCES 11 (MLFSC11----S1) @ 211,CONTEMPORARY INDIGENOUS STUDIE (MINST12C---S2) @ 103,COMPARATIVE CULTURES 12 (MCMCL12----S1) @ 122,FRENCH 12 (MFR--12----S2) @ 208,FOUNDATIONS OF MATHEMATICS 11 (MFOM-11----S1) @ 106,PRE-CALCULUS 11 HONOURS (MPREC11H---S1) @ 106
ANATOMY AND PHYSIOLOGY 12 (MATPH12----S2) @ 222,ADST ? ENTREPRENEURSHIP AND MA (MADEM10----S2) @ 123,LIFE SCIENCES 11 (MLFSC11----S2) @ 216,ENGLISH STUDIES 12 (MENST12----S1) @ A-6,CRIMINOLOGY 12 (YLAW-2CX---S1) @ TBD,LITERARY STUDIES 11 Challenge (MLTST11C---S1) @ 209,FOUNDATIONS OF MATHEMATICS 11 (MFOM-11----S2) @ 210,PRE-CALCULUS 12 HONOURS (MPREC12H---S1) @ 210
ANATOMY AND PHYSIOLOGY 12 (MATPH12----S3) @ 205A,AP PHYSICS C (MECHANICS) 12 ex (APHM-12----S1) @ 211,LIFE SCIENCES 11 (MLFSC11----S3) @ 219,ENGLISH STUDIES 12 (MENST12----S2) @ A-7,CRIMINOLOGY 12 (YLAW-2CX---S2) @ TBD,LITERARY STUDIES 11 Challenge (MLTST11C---S2) @ 222,LEARNING STRATEGIES 12 (YED--2CX---S1) @ 205A,SCHOLARSHIP PREPARATION 12 LIN (YED--2FX-L-S1) @ 209
ANATOMY AND PHYSIOLOGY 12 (MATPH12----S4) @ 205B,CAREER LIFE EDUCATION 10 (MCLE-10----S1) @ 208,LIFE SCIENCES 11 (MLFSC11----S4) @ 223,ENGLISH STUDIES 12 (MENST12----S3) @ 107,CRIMINOLOGY 12 (YLAW-2CX---S3) @ TBD,LITERARY STUDIES 12 (MLTST12----S1) @ 205A,LEARNING STRATEGIES 12 (YED--2CX---S10) @ 205B,TECH ED 9: MECHANICS LD (XLDCB09M---S1) @ 123
ANATOMY AND PHYSIOLOGY 12 (MATPH12----S5) @ 207A,CAREER LIFE EDUCATION 10 (MCLE-10----S2) @ 209,LIFE SCIENCES 11 (MLFSC11----S5) @ 225,ENGLISH STUDIES 12 (MENST12----S4) @ 122,ENGLISH FIRST PEOPLES 12 (MENFP12----S1) @ 120,MATHEMATICS 9 CHALLENGE (MMA--09C---S1) @ 210,LEARNING STRATEGIES 12 (YED--2CX---S11) @ 207A,TECH ED 9: MECHANICS LD (XLDCB09M---S2) @ 208
CALCULUS 12 (MCALC12----S1) @ 106,CAREER LIFE EDUCATION 10 (MCLE-10----S3) @ 222,PHYSICS 11 (MPH--11----S1) @ 226,ENGLISH STUDIES 12 (MENST12----S5) @ 123,ENGLISH FIRST PEOPLES 12 (MENFP12----S2) @ A-4,MATHEMATICS 9 CHALLENGE (MMA--09C---S2) @ 212,LEARNING STRATEGIES 12 (YED--2CX---S12) @ 207B,WORKPLACE MATHEMATICS 10 (MWPM-10----S1) @ 212
CALCULUS 12 (MCALC12----S2) @ 210,CAREER LIFE EDUCATION 10 (MCLE-10----S4) @ 205A,PHYSICS 11 (MPH--11----S2) @ 227,EXPLORATIONS IN SOCIAL STUDIES (MEPSS11----S1) @ 121,ENGLISH FIRST PEOPLES 12 (MENFP12----S3) @ Gym,PHYSICAL GEOGRAPHY 12 (MPGEO12----S1) @ 205B,LEARNING STRATEGIES 12 (YED--2CX---S13) @ A-2,WORKPLACE MATHEMATICS 11 (MWPM-11----S1) @ 214
CALCULUS 12 (MCALC12----S3) @ 212,CAREER LIFE EDUCATION 10 (MCLE-10----S5) @ 205B,PHYSICS 11 (MPH--11----S3) @ 123,EXPLORATIONS IN SOCIAL STUDIES (MEPSS11----S2) @ 208,ENVIRONMENTAL SCIENCE 11 (MEVSC11----S1) @ 211,PSYCHOLOGY 11 (YPSYC1AX---S1) @ 121,LEARNING STRATEGIES 12 (YED--2CX---S14) @ A-3,WORKPLACE MATHEMATICS 11 (MWPM-11----S2) @ 220
CHEMISTRY 11 (MCH--11----S1) @ 211,COMPOSITION 10 Challenge (MCMPS10C---S1) @ 207A,PHYSICS 11 (MPH--11----S4) @ 208,EXPLORATIONS IN SOCIAL STUDIES (MEPSS11----S3) @ 209,ENVIRONMENTAL SCIENCE 11 (MEVSC11----S2) @ 216,PSYCHOLOGY 11 (YPSYC1AX---S2) @ 207A,LEARNING STRATEGIES 12 (YED--2CX---S15) @ 101,
CHEMISTRY 11 (MCH--11----S2) @ 216,COMPOSITION 10 Challenge (MCMPS10C---S2) @ 207B,PHYSICS 11 (MPH--11----S5) @ 209,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10C---S1) @ 210,ENVIRONMENTAL SCIENCE 11 (MEVSC11----S3) @ 219,PSYCHOLOGY 11 (YPSYC1AX---S3) @ 207B,LEARNING STRATEGIES 12 (YED--2CX---S16) @ 102,
CHEMISTRY 11 (MCH--11----S3) @ 219,COMPUTER PROGRAMMING 11 AI and (MCMPR11AI--S1) @ 203,PHYSICS 11 (MPH--11----S6) @ 222,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10C---S2) @ 212,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10----S1) @ 106,SCIENCE 10: CHALLENGE (MSC--10C---S1) @ 219,LEARNING STRATEGIES 12 (YED--2CX---S17) @ 103,
CHEMISTRY 11 (MCH--11----S4) @ 223,EFP WRITING 10 (MEFWR10----S1) @ A-2,SCIENCE 9 (MSC--09----S1) @ 205A,FRENCH 10 (MFR--10----S1) @ 207A,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10----S2) @ 210,SCIENCE 10: CHALLENGE (MSC--10C---S2) @ 223,LEARNING STRATEGIES 12 (YED--2CX---S2) @ 104,
CHEMISTRY 11 (MCH--11----S5) @ 225,EFP WRITING 10 (MEFWR10----S2) @ A-3,SCIENCE 9 (MSC--09----S2) @ 205B,FRENCH 10 (MFR--10----S2) @ 207B,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10----S3) @ 212,SCIENCE 9: CHALLENGE (MSC--09C---S1) @ 211,LEARNING STRATEGIES 12 (YED--2CX---S3) @ 105,
CHEMISTRY 11 (MCH--11----S6) @ 226,EFP WRITING 10 (MEFWR10----S3) @ 101,SCIENCE 9 (MSC--09----S3) @ 207A,FRENCH 10 (MFR--10----S3) @ A-2,FOUNDATIONS OF MATH AND PRE-CA (MFMP-10----S4) @ 214,SCIENCE 9: CHALLENGE (MSC--09C---S2) @ 216,LEARNING STRATEGIES 12 (YED--2CX---S4) @ 108,
CHEMISTRY 12 (MCH--12----S1) @ 227,EFP WRITING 10 (MEFWR10----S4) @ 102,SCIENCE 9 (MSC--09----S4) @ 207B,FRENCH 9 (MFR--09----S1) @ 222,MATHEMATICS 9 (MMA--09----S1) @ 220,,LEARNING STRATEGIES 12 (YED--2CX---S5) @ 109,
CHEMISTRY 12 (MCH--12----S2) @ 207B,EFP WRITING 10 (MEFWR10----S5) @ 103,SCIENCE 9 (MSC--09----S5) @ A-2,FRENCH 9 (MFR--09----S2) @ 205A,MATHEMATICS 9 (MMA--09----S2) @ 221,,LEARNING STRATEGIES 12 (YED--2CX---S6) @ 110,
CHEMISTRY 12 (MCH--12----S3) @ A-2,ENGLISH LANGUAGE ARTS 9 (MEN--09----S1) @ 116,SCIENCE 9 (MSC--09----S6) @ A-3,FRENCH 9 (MFR--09----S3) @ 205B,MATHEMATICS 9 (MMA--09----S3) @ 209,,LEARNING STRATEGIES 12 (YED--2CX---S7) @ 113,
CHEMISTRY 12 (MCH--12----S4) @ A-3,ENGLISH LANGUAGE ARTS 9 (MEN--09----S2) @ 104,SOCIAL STUDIES 10 (MSS--10----S1) @ 121,INDEPENDENT DIRECTED STUDIES 1 (MIDS-0C----S1) @ 120,MATHEMATICS 9 (MMA--09----S4) @ 222,,LEARNING STRATEGIES 12 (YED--2CX---S8) @ 114,
CHEMISTRY 12 (MCH--12----S5) @ 101,ENGLISH LANGUAGE ARTS 9 (MEN--09----S3) @ 105,SOCIAL STUDIES 10 (MSS--10----S2) @ 101,LAW STUDIES 12 (MLST-12----S1) @ 104,PHYSICAL AND HEALTH EDUCATION (MPHE-09----S1) @ 205A,,LEARNING STRATEGIES 12 (YED--2CX---S9) @ 116,
CHEMISTRY 12 (MCH--12----S6) @ 102,ENGLISH LANGUAGE ARTS 9 (MEN--09----S4) @ 106,SOCIAL STUDIES 10 (MSS--10----S3) @ 102,LAW STUDIES 12 (MLST-12----S2) @ 105,PHYSICAL AND HEALTH EDUCATION (MPHE-09----S2) @ 205B,,PHYSICAL AND HEALTH EDUCATION (MPHED10--L-S1) @ 107,
COMPOSITION 10 (MCMPS10----S1) @ 103,ENGLISH LANGUAGE ARTS 9 (MEN--09----S5) @ 108,SOCIAL STUDIES 10 (MSS--10----S4) @ 103,LAW STUDIES 12 (MLST-12----S3) @ 108,PHYSICAL AND HEALTH EDUCATION (MPHE-09----S3) @ 207A,,SOCIAL JUSTICE 12 (MSJ--12----S1) @ 121,
COMPOSITION 10 (MCMPS10----S2) @ 104,ENGLISH LANGUAGE ARTS 9 (MEN--09----S6) @ 109,SOCIAL STUDIES 10 (MSS--10----S5) @ 104,LAW STUDIES 12 (MLST-12----S4) @ 109,PHYSICAL AND HEALTH EDUCATION (MPHE-09--L-S1) @ 207B,,SOCIAL JUSTICE 12 (MSJ--12----S2) @ 122,
COMPOSITION 10 (MCMPS10----S3) @ 105,ENGLISH LANGUAGE ARTS 9 CHALLE (MEN--09C---S1) @ 110,SOCIAL STUDIES 10 (MSS--10----S6) @ 105,SOCIAL STUDIES 9 (MSS--09----S1) @ 110,PHYSICAL AND HEALTH EDUCATION (MPHE-09--L-S2) @ A-2,,SOCIAL STUDIES 10 CHALLENGE (MSS--10C---S1) @ 123,
COMPOSITION 11 (MCMPS11----S1) @ 108,ENGLISH LANGUAGE ARTS 9 CHALLE (MEN--09C---S2) @ 113,SOCIAL STUDIES 10 (MSS--10----S7) @ 106,SOCIAL STUDIES 9 (MSS--09----S2) @ 113,PHYSICAL AND HEALTH EDUCATION (MPHE-09B---S1) @ A-3,,SOCIAL STUDIES 10 CHALLENGE (MSS--10C---S2) @ 208,
COMPOSITION 11 (MCMPS11----S2) @ 109,ENVIRONMENTAL SCIENCE 12 - CLI (MEVSC12C---S1) @ 216,SOCIAL STUDIES 10 (MSS--10----S8) @ 108,SOCIAL STUDIES 9 (MSS--09----S3) @ 114,PHYSICAL AND HEALTH EDUCATION (MPHE-09B---S2) @ 101,,,
COMPOSITION 11 (MCMPS11----S3) @ 110,PRE-CALCULUS 12 (MPREC12----S1) @ 210,,SOCIAL STUDIES 9 (MSS--09----S4) @ 116,PHYSICAL AND HEALTH EDUCATION (MPHE-09B---S3) @ 102,,,
COMPOSITION 11 (MCMPS11----S4) @ 113,PRE-CALCULUS 12 (MPREC12----S2) @ 212,,SOCIAL STUDIES 9 (MSS--09----S5) @ 118,PHYSICAL AND HEALTH EDUCATION (MPHE-09B---S4) @ 103,,,
COMPOSITION 11 (MCMPS11----S5) @ 114,PRE-CALCULUS 12 (MPREC12----S3) @ 214,,SOCIAL STUDIES 9 (MSS--09----S6) @ 119,PHYSICAL AND HEALTH EDUCATION (MPHE-09G---S1) @ 104,,,
COMPOSITION 11 (MCMPS11----S6) @ 116,PRE-CALCULUS 12 (MPREC12----S4) @ 220,,SOCIAL STUDIES 9 (MSS--09----S7) @ 201,PHYSICAL AND HEALTH EDUCATION (MPHE-09G---S2) @ 105,,,
COMPOSITION 11 (MCMPS11----S7) @ 118,PRE-CALCULUS 12 (MPREC12----S5) @ 221,,,PHYSICAL AND HEALTH EDUCATION (MPHE-09G---S3) @ 108,,,
COMPOSITION 11 (MCMPS11----S8) @ 119,PRE-CALCULUS 12 (MPREC12----S6) @ 114,,,PHYSICAL AND HEALTH EDUCATION (MPHE-09G---S4) @ 109,,,
COMPOSITION 11 (MCMPS11----S9) @ 120,SCIENCE 10 (MSC--10----S1) @ 219,,,PHYSICAL AND HEALTH EDUCATION (MPHED10----S1) @ 110,,,
FOOD STUDIES 11 (MFOOD11----S1) @ 206,SCIENCE 10 (MSC--10----S2) @ 223,,,PHYSICAL AND HEALTH EDUCATION (MPHED10----S2) @ 113,,,
FOOD STUDIES 11 (MFOOD11----S2) @ 121,SCIENCE 10 (MSC--10----S3) @ 225,,,PHYSICAL AND HEALTH EDUCATION (MPHED10----S3) @ 114,,,
FOOD STUDIES 11 (MFOOD11----S3) @ 201,SCIENCE 10 (MSC--10----S4) @ 226,,,PHYSICAL AND HEALTH EDUCATION (MPHED10B---S1) @ 116,,,
FOOD STUDIES 11 (MFOOD11----S4) @ 203,SCIENCE 10 (MSC--10----S5) @ 227,,,PHYSICAL AND HEALTH EDUCATION (MPHED10B---S2) @ 118,,,
FOOD STUDIES 12 (MFOOD12----S1) @ 214,SCIENCE 10 (MSC--10----S6) @ 118,,,PHYSICAL AND HEALTH EDUCATION (MPHED10B---S3) @ 119,,,
FOOD STUDIES 12 (MFOOD12----S2) @ 220,SCIENCE 10 (MSC--10----S7) @ 119,,,PHYSICAL AND HEALTH EDUCATION (MPHED10B---S4) @ 121,,,
FOOD STUDIES 12 (MFOOD12----S3) @ 221,,,,PHYSICAL AND HEALTH EDUCATION (MPHED10G---S1) @ 201,,,
FOOD STUDIES 12 (MFOOD12----S4) @ A-1,,,,PHYSICAL AND HEALTH EDUCATION (MPHED10G---S2) @ 203,,,
INSTRUMENTAL MUSIC: CONCERT BA (MMUCB10--L-S1) @ A-6,,,,PHYSICAL AND HEALTH EDUCATION (MPHED10G---S3) @ A-1,,,
MATHEMATICS 9 HONOURS (MMA--09H---S1) @ A-4,,,,PHYSICAL AND HEALTH EDUCATION (MPHED10G---S4) @ A-6,,,
PRE-CALCULUS 11 (MPREC11----S1) @ A-7,,,,PHYSICS 12 (MPH--12----S1) @ 223,,,
PRE-CALCULUS 11 (MPREC11----S2) @ Gym,,,,PHYSICS 12 (MPH--12----S2) @ 225,,,
PRE-CALCULUS 11 (MPREC11----S3) @ Studio,,,,PHYSICS 12 (MPH--12----S3) @ 226,,,
PRE-CALCULUS 11 (MPREC11----S4) @ TBD,,,,PHYSICS 12 (MPH--12----S4) @ 227,,,
PRE-CALCULUS 11 (MPREC11----S5) @ TBD,,,,SOCIAL STUDIES 9 CHALLENGE (MSS--09C---S1) @ A-7,,,
PRE-CALCULUS 11 (MPREC11----S6) @ TBD,,,,SOCIAL STUDIES 9 CHALLENGE (MSS--09C---S2) @ Studio,,,
SPANISH 10 (MSP--10----S1) @ TBD,,,,,,,
SPANISH 11 (MSP--11----S1) @ TBD,,,,,,,
SPANISH 11 (MSP--11----S2) @ TBD,,,,,,,
SPANISH 12 (MSP--12----S1) @ TBD,,,,,,,
SPANISH 12 (MSP--12----S2) @ TBD,,,,,,,
TEXTILES 10 (MTXT-10----S1) @ TBD,,,,,,,
TEXTILES 10 (MTXT-10----S2) @ TBD,,,,,,,
TEXTILES 10 (MTXT-10----S3) @ TBD,,,,,,,
TEXTILES 10 (MTXT-10----S4) @ TBD,,,,,,,
TEXTILES 11 (MTXT-11----S1) @ TBD,,,,,,,
TEXTILES 11 (MTXT-11----S2) @ TBD,,,,,,,
TEXTILES 11 (MTXT-11----S3) @ TBD,,,,,,,
TEXTILES 11 (MTXT-11----S4) @ TBD,,,,,,,
TEXTILES 12 (MTXT-12----S1) @ TBD,,,,,,,
TEXTILES 12 (MTXT-12----S2) @ TBD,,,,,,,
TEXTILES 12 (MTXT-12----S3) @ TBD,,,,,,,
TEXTILES 12 (MTXT-12----S4) @ TBD,,,,,,,
