Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
AP COMPUTER SCIENCE A 12 & COMPUTER SCIENCE 12 (25) [211],ACCOUNTING 11 & ACCOUNTING 12 (21) [121],DRAFTING 12 & DRAFTING 11 & ADST ?  DRAFTING 10 & ADST - Drafting 9 (24) [208],INSTRUMENTAL MUSIC: ORCHESTRA & INSTRUMENTAL MUSIC: ORCHESTRA & INSTRUMENTAL MUSIC: ORCHESTRA (21) [119],DRAFTING 12 & DRAFTING 11 & ADST ?  DRAFTING 10 & ADST - Drafting 9 (18) [208],WOODWORK 12 & WOODWORK 11 & ADST ?  WOODWORK 10 & ADST - Woodwork 9 (23) [101],ROBOTICS 12 & ROBOTICS 11 & ADST ?  ELECTRONICS AND ROBOTI & ADST - Electronics and Robotic (25) [104],MEDIA DESIGN 12 & MEDIA DESIGN 11 & ADST ? MEDIA DESIGN 10 (24) [114]
TEXTILES 12 & TEXTILES 11 & TEXTILES 10 & ADST - Textiles 9 (18) [206],ACTIVE LIVING 12 & ACTIVE LIVING 11 (20) [120],ENGINEERING 12 & ENGINEERING 11 & ADST-Technology Explorations 1 & ADST 9 - General Explorations (17) [203],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (27) [A-4],ECONOMICS 12 & E-COMMERCE 12 (18) [121],CHORAL MUSIC 12: CONCERT CHOIR & CHORAL MUSIC 11: CONCERT CHOIR & CHORAL MUSIC: CONCERT CHOIR 10 (21) [119],Information and Communications (30) [114],PRE-CALCULUS 12 (23) [106]
INTRODUCTORY SPANISH 11 & SPANISH 9 (16) [107],ACTIVE LIVING 12 Girls & ACTIVE LIVING 11 Girls (19) [A-4],TEXTILES 12 & TEXTILES 11 & TEXTILES 10 & ADST - Textiles 9 (15) [206],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (23) [A-4],FOOD STUDIES 12 & FOOD STUDIES 11 (29) [206],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (29) [A-4],ECONOMICS 12 & E-COMMERCE 12 & CAMOSUN COL BUSINESS 12H (30) [121],TEXTILES 12 (14) [206]
FRENCH 9 & FRENCH 10 (22) [123],DRAFTING 12 & ADST - Drafting 9 (10) [122],DANCE 9 Company: Platform 61 L (11) [Studio],AUTOMOTIVE TECHNOLOGY 12 & AUTOMOTIVE TECHNOLOGY 11 (16) [102],FRENCH 10 & FRENCH 9 (14) [122],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (27) [A-4],FOOD STUDIES 12 & FOOD STUDIES 11 (27) [206],AUTOMOTIVE TECHNOLOGY 12 (20) [102]
FRENCH 9 & FRENCH 10 (22) [123],ROBOTICS 12 & ROBOTICS 11 & ADST ?  ELECTRONICS AND ROBOTI & ADST - Electronics and Robotic (24) [104],DANCE TECHNIQUE AND PERFORMANC & DANCE 9 Performance and Techni (4) [107],ANATOMY AND PHYSIOLOGY 12 (11) [211],FRENCH 10 & FRENCH 9 (14) [122],ADST ?  POWER TECHNOLOGY 10 & TECH ED 9: MECHANICS LD (20) [102],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (14) [120],ANATOMY AND PHYSIOLOGY 12 (30) [211]
ENGLISH FIRST PEOPLES 12 (21) [A-6],TEXTILES 12 & TEXTILES 10 & ADST - Textiles 9 (17) [206],DANCE TECHNIQUE AND PERFORMANC & DANCE TECHNIQUE AND PERFORMANC (19) [122],LEARNING STRATEGIES 12 (4) [108],INSTRUMENTAL MUSIC 12: JAZZ BA & INSTRUMENTAL MUSIC 11: JAZZ BA (28) [119],PHOTOGRAPHY 12 & PHOTOGRAPHY 11 & VISUAL ARTS: PHOTOGRAPHY 10 (29) [113],PHOTOGRAPHY 12 & PHOTOGRAPHY 11 & VISUAL ARTS: PHOTOGRAPHY 10 (24) [113],CROSS TRAINING 12 (10) [120]
ACTIVE LIVING 12 (16) [120],WOODWORK 12 & WOODWORK 11 & ADST ?  WOODWORK 10 & ADST - Woodwork 9 (26) [101],FRENCH 12 & FRENCH 11 (30) [123],ENGINEERING 12 (7) [203],MEDIA DESIGN 12 & MEDIA DESIGN 11 & ADST ? MEDIA DESIGN 10 (18) [114],ART STUDIO 12 & ART STUDIO 11 & VISUAL ARTS: ART STUDIO 10 & VISUAL ARTS 9 (25) [116],ART STUDIO 12 & ART STUDIO 11 & VISUAL ARTS: ART STUDIO 10 (23) [116],PSYCHOLOGY 11 (26) [121]
DRAFTING 12 (5) [105],DANCE FOUNDATIONS 12 & DANCE FOUNDATIONS 11 & DANCE FOUNDATIONS 10 & DANCE 9 Foundations (24) [Studio],ELL Academic Literacy 11 & SPOKEN LANGUAGE 11 (13) [108],PHYSICS 11 (30) [216],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (28) [Gym],ART STUDIO 12 & ART STUDIO 11 & VISUAL ARTS: ART STUDIO 10 (13) [107],CONCERT BAND 9 - Guitar (16) [119],CRIMINOLOGY 12 (29) [107]
CHEMISTRY 12 (26) [216],DRAMA 10 & DRAMA 9 (22) [A-1],DRAFTING 12 & DRAFTING 11 & ADST ?  DRAFTING 10 & ADST - Drafting 9 (24) [208],PHYSICS 12 (14) [219],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (30) [Gym],20th CENTURY WORLD HISTORY 12 (18) [121],SOCIAL JUSTICE 12 (22) [107],ENGLISH STUDIES 12 (25) [A-6]
3D ANIMATION 12 (19) [114],DRAMA 12 & DRAMA 11 (26) [107],PRE-CALCULUS 12 (29) [106],PRE-CALCULUS 12 (30) [106],PHYSICAL AND HEALTH EDUCATION & PHYSICAL AND HEALTH EDUCATION (27) [Gym],ENGLISH FIRST PEOPLES 12 (25) [A-6],PRE-CALCULUS 12 (21) [106],PRE-CALCULUS 11 (23) [212]
