Course,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
20th CENTURY WORLD HISTORY 12,0,0,0,0,23,0,15,0
3D ANIMATION 12,7,0,0,0,0,0,0,0
ACCOUNTING 11,0,29,0,0,25,0,0,22
ACCOUNTING 12,0,0,0,0,13,6,10,0
ACTIVE LIVING 11,0,0,23,8,0,0,0,0
ACTIVE LIVING 12,0,14,0,0,0,0,0,14
ADST -  DRAFTING 10,0,6,0,15,0,0,0,15
ADST -  ELECTRONICS AND ROBOTICS 10,0,0,10,0,0,0,0,10
ADST -  ELECTRONICS AND ROBOTICS 10 Linear,0,0,2,0,0,0,0,0
ADST -  FOOD STUDIES 10,0,0,0,0,23,0,23,23
ADST -  POWER TECHNOLOGY 10,0,0,0,20,0,0,0,11
ADST -  WOODWORK 10,0,0,0,12,0,20,0,0
ADST - Drafting 9,0,24,0,0,0,0,13,16
ADST - ENTREPRENEURSHIP AND MARKETING 10,29,29,0,0,0,0,29,0
ADST - Electronics and Robotics,0,18,0,0,0,24,0,21
ADST - MEDIA DESIGN 10,0,17,0,0,0,0,0,16
ADST - Textiles 9,8,0,17,8,0,0,0,0
ADST - Woodwork 9,21,0,0,0,0,0,13,0
ADST 9 - General Explorations (Modules),11,13,24,24,0,18,0,11
ADST-Information and Communications Technologies 9,0,24,0,0,24,24,0,0
ADST-Technology Explorations 10,5,0,17,3,8,0,9,13
ANATOMY AND PHYSIOLOGY 12,23,23,0,0,23,0,23,0
AP CALCULUS AB 12 external credential,0,0,0,0,16,0,0,0
AP COMPUTER SCIENCE A 12,8,0,0,0,0,0,0,0
AP ENGLISH LITERATURE & COMPOSITION 12,0,19,0,0,0,0,0,0
AP PHYSICS C (MECHANICS) 12 external credential,0,0,0,21,0,0,0,0
AP STATISTICS 12,0,29,0,0,0,0,0,0
ART STUDIO 11,12,0,0,0,0,0,5,0
ART STUDIO 12,0,5,0,0,0,10,0,0
ATHLETIC LEADERSHIP 10 U16,0,0,0,0,15,0,0,0
ATHLETIC LEADERSHIP 11 Linear,0,11,0,0,0,0,0,0
ATHLETIC LEADERSHIP 12 Linear,0,0,7,0,0,0,0,0
AUTOMOTIVE TECHNOLOGY 11,0,11,0,21,0,18,0,0
AUTOMOTIVE TECHNOLOGY 12,0,0,10,0,15,9,0,0
CALCULUS 12,0,0,0,29,0,21,0,0
CAREER LIFE CONNECTIONS,0,0,0,0,0,0,4,0
CAREER LIFE CONNECTIONS Linear,0,0,0,0,0,129,0,0
CAREER LIFE EDUCATION 10,28,29,0,0,0,29,28,18
CAREER LIFE EDUCATION 10 Linear,0,0,0,0,0,0,11,0
CHEMISTRY 11,17,23,23,23,18,23,23,23
CHEMISTRY 12,21,0,0,23,0,22,23,23
CHORAL MUSIC 11: CONCERT CHOIR Linear,0,0,0,0,8,0,0,0
CHORAL MUSIC: CONCERT CHOIR 10 Linear,0,0,0,0,0,0,1,0
COMMUNITY LEADERSHIP 10,0,0,0,0,0,0,5,0
COMMUNITY LEADERSHIP 10 Linear,13,0,0,0,0,0,0,0
COMMUNITY LEADERSHIP 11,0,0,0,0,0,0,0,9
COMMUNITY LEADERSHIP 11 Linear,0,0,0,0,0,0,0,5
COMMUNITY LEADERSHIP 12,0,0,0,0,0,0,0,10
COMMUNITY LEADERSHIP 12 Linear,0,16,0,0,0,0,0,0
COMPARATIVE CULTURES 12,14,0,0,17,0,0,0,0
COMPOSITION 10,0,0,0,11,24,0,0,0
COMPOSITION 10 Challenge,16,0,0,0,0,13,0,0
COMPOSITION 11,18,24,24,24,24,24,24,24
COMPUTER SCIENCE 11,0,0,18,0,0,0,24,0
COMPUTER SCIENCE 12,0,0,24,0,0,7,0,0
CONCERT BAND 9 - Guitar,0,0,0,0,26,0,0,0
CONCERT BAND 9 Linear,0,0,0,0,0,0,0,11
CONCERT CHOIR 9 Linear,0,0,0,0,0,0,4,0
CONTEMPORARY INDIGENOUS STUDIES 12,0,20,0,14,0,0,0,0
CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,0,0,0,0,24,0,11,0
CRIMINOLOGY 12,24,0,0,24,0,24,0,0
DANCE 10: CHOREOGRAPHY Linear,0,0,2,0,0,0,0,0
DANCE 11: CHOREOGRAPHY Linear,0,0,0,0,0,0,5,0
DANCE 12: CHOREOGRAPHY Linear,0,12,0,0,0,0,0,0
DANCE 9 Choreography Linear,0,0,7,0,0,0,0,0
DANCE 9 Company: Platform 61 Linear,5,0,0,0,0,0,0,0
DANCE 9 Foundations,0,0,0,0,0,0,8,0
DANCE 9 HIP HOP,0,0,0,0,0,5,0,0
DANCE 9 Performance and Technique,0,4,0,0,0,0,0,0
DANCE COMPANY 10 Linear,0,5,0,0,0,0,0,0
DANCE COMPANY 11 Linear,0,0,0,10,0,0,0,0
DANCE COMPANY 12 Linear,13,0,0,0,0,0,0,0
DANCE CONDITIONING 11,0,0,0,0,0,0,4,0
DANCE CONDITIONING 12,0,0,0,10,0,0,0,0
DANCE FOUNDATIONS 10,0,0,0,0,0,3,0,0
DANCE FOUNDATIONS 11,0,0,0,4,0,0,0,0
DANCE FOUNDATIONS 12,0,0,0,0,0,0,1,0
DANCE TECHNIQUE AND PERFORMANCE 10,0,0,0,0,0,0,0,5
DANCE TECHNIQUE AND PERFORMANCE 11,0,0,0,0,0,0,0,7
DANCE TECHNIQUE AND PERFORMANCE 12,0,0,0,0,0,0,0,10
DRAFTING 11,0,14,0,0,0,0,3,12
DRAFTING 12,7,0,8,5,0,0,0,0
DRAMA 10,0,0,0,16,0,0,0,0
DRAMA 11,0,0,0,13,0,0,0,0
DRAMA 12,0,12,0,0,0,0,0,0
DRAMA 9,0,0,0,0,0,12,0,0
ECONOMICS 12,0,0,0,0,0,0,0,22
EFP LITERARY STUDIES 10,1,0,0,0,0,0,0,0
EFP WRITING 10,0,23,24,0,0,20,0,24
ELL Academic Literacy 11,0,8,0,0,0,0,0,0
ENGINEERING 11,3,0,3,5,3,0,3,11
ENGINEERING 12,0,5,8,6,0,2,8,3
ENGLISH 9 FOR ELL,0,9,0,0,0,0,0,0
ENGLISH FIRST PEOPLES 12,24,0,0,24,0,0,13,0
ENGLISH FIRST PEOPLES 12 Year,0,0,13,0,0,0,0,0
ENGLISH LANGUAGE ARTS 9,0,0,24,24,24,0,24,10
ENGLISH LANGUAGE ARTS 9 CHALLENGE,0,0,0,0,19,19,0,0
ENGLISH STUDIES 12,0,0,24,0,0,9,24,0
ENGLISH STUDIES 12 CHALLENGE,0,9,0,0,0,0,0,0
ENTREPRENEURSHIP 12,21,0,0,0,0,0,0,0
ENVIRONMENTAL SCIENCE 11,0,0,0,10,23,0,0,0
ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,0,0,0,0,0,0,0,21
EXPLORATIONS IN SOCIAL STUDIES 11,17,24,0,0,0,0,12,0
FITNESS AND CONDITIONING 11,9,0,0,0,0,0,0,0
FITNESS AND CONDITIONING 12,0,0,15,0,0,0,0,0
FOOD STUDIES 11,23,0,0,0,23,0,17,23
FOOD STUDIES 12,23,0,0,0,11,0,13,23
FOUNDATIONS OF MATH AND PRE-CALCULUS 10,0,21,24,0,0,29,24,0
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,0,0,20,0,18,0,0,0
FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,15,0,0,0,0,0,0,0
FOUNDATIONS OF MATHEMATICS 11,0,0,0,0,0,0,14,0
FRENCH 10,0,0,0,0,0,14,0,11
FRENCH 11,0,18,0,0,0,0,0,12
FRENCH 12,0,5,0,8,0,0,0,0
FRENCH 9,0,0,0,0,0,0,11,4
GEOMETRY 12,0,0,0,0,0,0,14,0
GRAPHIC PRODUCTION 11 LINEAR,0,0,7,0,0,0,0,0
GRAPHIC PRODUCTION 12 LINEAR,0,0,0,0,0,0,0,4
INDEPENDENT DIRECTED STUDIES 10B,0,0,0,0,0,5,0,0
INDEPENDENT DIRECTED STUDIES 10C,0,0,9,0,0,0,0,0
INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,0,0,11,0,0,0,0,0
INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,0,0,3,8,0,0,0,0
INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,0,0,0,11,0,0,0,0
INSTRUMENTAL MUSIC 12: GUITAR,7,0,0,0,4,0,0,0
INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,0,0,2,0,0,0,0,4
INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,0,0,0,0,0,8,0,0
INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,0,0,0,0,0,0,9,0
INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,0,0,4,0,0,0,0,0
INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,0,0,0,0,4,0,0,0
INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,3,0,0,0,0,0,0,0
INTRODUCTORY SPANISH 11,0,0,0,17,0,10,0,0
Information and Communications Technologies 10,0,0,0,2,0,0,0,15
Intermediate ELL 11,0,0,0,0,0,2,0,0
